Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Категории,Название атрибута 4,Значения атрибутов 4,Видимость атрибута 4,Глобальный атрибут 4,Название атрибута 12,Значения атрибутов 12,Видимость атрибута 12,Глобальный атрибут 12,Название атрибута 23,Значения атрибутов 23,Видимость атрибута 23,Глобальный атрибут 23,Название атрибута 3,Значения атрибутов 3,Видимость атрибута 3,Глобальный атрибут 3,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Название атрибута 2,Значения атрибутов 2,Видимость атрибута 2,Глобальный атрибут 2,Название атрибута 5,Значения атрибутов 5,Видимость атрибута 5,Глобальный атрибут 5,Название атрибута 6,Значения атрибутов 6,Видимость атрибута 6,Глобальный атрибут 6,Название атрибута 7,Значения атрибутов 7,Видимость атрибута 7,Глобальный атрибут 7,Название атрибута 9,Значения атрибутов 9,Видимость атрибута 9,Глобальный атрибут 9,Название атрибута 10,Значения атрибутов 10,Видимость атрибута 10,Глобальный атрибут 10,Название атрибута 11,Значения атрибутов 11,Видимость атрибута 11,Глобальный атрибут 11,Название атрибута 13,Значения атрибутов 13,Видимость атрибута 13,Глобальный атрибут 13,Название атрибута 14,Значения атрибутов 14,Видимость атрибута 14,Глобальный атрибут 14,Название атрибута 15,Значения атрибутов 15,Видимость атрибута 15,Глобальный атрибут 15,Название атрибута 16,Значения атрибутов 16,Видимость атрибута 16,Глобальный атрибут 16,Название атрибута 17,Значения атрибутов 17,Видимость атрибута 17,Глобальный атрибут 17,Название атрибута 18,Значения атрибутов 18,Видимость атрибута 18,Глобальный атрибут 18,Название атрибута 19,Значения атрибутов 19,Видимость атрибута 19,Глобальный атрибут 19,Название атрибута 20,Значения атрибутов 20,Видимость атрибута 20,Глобальный атрибут 20,Название атрибута 21,Значения атрибутов 21,Видимость атрибута 21,Глобальный атрибут 21,Название атрибута 22,Значения атрибутов 22,Видимость атрибута 22,Глобальный атрибут 22,Название атрибута 24,Значения атрибутов 24,Видимость атрибута 24,Глобальный атрибут 24,Название атрибута 25,Значения атрибутов 25,Видимость атрибута 25,Глобальный атрибут 25,Название атрибута 26,Значения атрибутов 26,Видимость атрибута 26,Глобальный атрибут 26
Dino Lift 180 XT,simple,15,1,visible,1,"Misc, Прицепные, Коленчатые, Электрические",Вид подъемника,Прицепной,1,1,Рабочая высота,18 м,1,1,Тип двигателя,Электрический,1,1,Вес,2315 кг,1,1,Аккумуляторы,,1,1,Бренд,DinoLift,1,1,Внешний радиус поворота,,1,1,Внутренний радиус поворота,,1,1,Вращение,360°,1,1,Горизонтальный вылет,10.9 м,1,1,Высота техники,"2,3 м",1,1,Высота подъема платформы,16 м,1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,215 кг,1,1,Двигатель,Electric motor 110/230 VAC,1,1,Длина,"6,66 м",1,1,Дорожный просвет,23 см,1,1,Колесная база,,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,0.7 х 1.3 м,1,1,Скорость,,1,1,Страна,Финляндия,1,1,Объем топливного бака,,1,1,Шины,Дорожные,1,1,Ширина,"1,95 м",1,1
Genie Z33/18,simple,20,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,12 м,1,1,Тип двигателя,Электрический,1,1,Вес,3665 кг,1,1,Аккумуляторы,,1,1,Бренд,Genie,1,1,Внешний радиус поворота,3.07 м,1,1,Внутренний радиус поворота,1.9 м,1,1,Вращение,"400°, платформа на 180",1,1,Горизонтальный вылет,"5,57 м",1,1,Высота техники,1.98 м,1,1,Высота подъема платформы,10 м,1,1,Объем бака гидравлической жидкости,20.8 л,1,1,Грузоподъемность,200 кг,1,1,Двигатель,48 В пост. тока (восемь аккумуляторных батарей 6 В емкостью 315 А/ч),1,1,Длина,"4,17 м",1,1,Дорожный просвет,"15,2 см",1,1,Колесная база,"1,9 м",1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,"0,76 x 1,17 м",1,1,Скорость,6 км/ч,1,1,Страна,США,1,1,Объем топливного бака,нет,1,1,Шины,"сплошные, не оставляющие следов 56x23x44 см",1,1,Ширина,"1,5 м",1,1
Genie Z-45/25 RT,simple,17,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"15,86 м",1,1,Тип двигателя,Дизельный,1,1,Вес,6415 кг,1,1,Аккумуляторы,,1,1,Бренд,Genie,1,1,Внешний радиус поворота,"4,5 м",1,1,Внутренний радиус поворота,"1,68 м",1,1,Вращение,"180° платформа, непрерывный круг 355",1,1,Горизонтальный вылет,7.52 м,1,1,Высота техники,2 м,1,1,Высота подъема платформы,"13,86 м",1,1,Объем бака гидравлической жидкости,83 л,1,1,Грузоподъемность,227 кг,1,1,Двигатель,"Deutz D2011L03i 3-цилиндровый дизельный 35,8 кВт (48 л.с.)",1,1,Длина,"6,55 м",1,1,Дорожный просвет,"0,37 м",1,1,Колесная база,"2,03 м",1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,"0,76 м Х 1,83 м",1,1,Скорость,4.8 км/ч,1,1,Страна,США,1,1,Объем топливного бака,"64,4 л",1,1,Шины,135/55 D20,1,1,Ширина,"1,83 м",1,1
Genie Z-45/25J DC,simple,18,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"15,94 м",1,1,Тип двигателя,Электрический,1,1,Вес,7394 кг,1,1,Аккумуляторы,"8 аккумуляторных батарей 6 В емкостью 350 А/ч) B, пост. тока",1,1,Бренд,Genie,1,1,Внешний радиус поворота,"4,3 м",1,1,Внутренний радиус поворота,"1,8 м",1,1,Вращение,"160°, непрерывный круг 355",1,1,Горизонтальный вылет,7.65 м,1,1,Высота техники,2 м,1,1,Высота подъема платформы,"13,94 м",1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,227 кг,1,1,Двигатель,"Модель DC - восемь аккумуляторных батарей 6 В емкостью 350 А/ч) B, пост. тока
Модель Bi-Energy - (восемь аккумуляторных батарей 6 В емкостью 350 А/ч), 48 В пост. тока и дизельный двигатель Kubota 9,9 кВт, Л/С.",1,1,Длина,"6,83 м",1,1,Дорожный просвет,"0,24 м",1,1,Колесная база,"2,03 м",1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,"0,76 м Х 1,83 м",1,1,Скорость,4.8 км/ч,1,1,Страна,США,1,1,Объем топливного бака,"64,4 л",1,1,Шины,23 x 37 см пенозаполненные,1,1,Ширина,"1,83 м",1,1
Genie Z-51/30J RT,simple,19,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"17,59 м",1,1,Тип двигателя,Дизельный,1,1,Вес,7213 кг,1,1,Аккумуляторы,,1,1,Бренд,Genie,1,1,Внешний радиус поворота,"4,5 м",1,1,Внутренний радиус поворота,"1,7 м",1,1,Вращение,160°,1,1,Горизонтальный вылет,9.37 м,1,1,Высота техники,2 м,1,1,Высота подъема платформы,"15,59 м",1,1,Объем бака гидравлической жидкости,"90,9 л",1,1,Грузоподъемность,227 кг,1,1,Двигатель,"дизельный -  3-цилиндровый дизель Deutz D2011L03i

Мощностью 35,8 кВт, Л/С",1,1,Длина,"7,58 м",1,1,Дорожный просвет,"0,39 м",1,1,Колесная база,"2,03 м",1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,"0,76 м Х 1,83 м",1,1,Скорость,4.8 км/ч,1,1,Страна,США,1,1,Объем топливного бака,"64,4 л",1,1,Шины,135/55 D625 пенозаполненные,1,1,Ширина,"2,29 м",1,1
Haulotte HA 12IP,simple,31,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,12 м,1,1,Тип двигателя,Электрический,1,1,Вес,5900 кг,1,1,Аккумуляторы,48В 360 Ah,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,"2,4 м",1,1,Внутренний радиус поворота,2 м,1,1,Вращение,"180°, непрерывный круг 359",1,1,Горизонтальный вылет,6.50 м,1,1,Высота техники,2.06 м,1,1,Высота подъема платформы,10 м,1,1,Объем бака гидравлической жидкости,30 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,48 V - 345 Ah (C5),1,1,Длина,"5,5 м",1,1,Дорожный просвет,16 см,1,1,Колесная база,"1,8 м",1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,"1,2 x 0,8 м",1,1,Скорость,0.7 - 4.5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,,1,1,Шины,10-16.5 с пенным наполнением,1,1,Ширина,"1,35 м",1,1
Haulotte H15SX,simple,29,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,15 м,1,1,Тип двигателя,Дизельный,1,1,Вес,5900 кг,1,1,Аккумуляторы,12 В - 95 А.ч. ,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.96 м,1,1,Внутренний радиус поворота,2 м,1,1,Вращение,170°,1,1,Горизонтальный вылет,нет,1,1,Высота техники,1.91 м,1,1,Высота подъема платформы,13 м,1,1,Объем бака гидравлической жидкости,100 л,1,1,Грузоподъемность,700 кг,1,1,Двигатель,"Hatz, 31.4 hp - 23.1 kW",1,1,Длина,"4,18 м",1,1,Дорожный просвет,35 см,1,1,Колесная база,2.75 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,6 x 1.89 м,1,1,Скорость,1.6 - 6 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,65 л,1,1,Шины,10-16.5 с пенным наполнением,1,1,Ширина,"2,25 м",1,1
Haulotte H18SX,simple,30,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,17 м,1,1,Тип двигателя,Дизельный,1,1,Вес,7300 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.96 м,1,1,Внутренний радиус поворота,2 м,1,1,Вращение,170°,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.99 м,1,1,Высота подъема платформы,15 м,1,1,Объем бака гидравлической жидкости,100 л,1,1,Грузоподъемность,500 кг,1,1,Двигатель,Hatz 31.4 hp - 23.1 kW,1,1,Длина,"4,18 м",1,1,Дорожный просвет,35 см,1,1,Колесная база,2.75 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,6 x 1.89 м,1,1,Скорость,1.6 - 6 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,65 л,1,1,Шины,10-16.5 с пенным наполнением,1,1,Ширина,"2,25 м",1,1
Haulotte H12SX,simple,28,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,12 м,1,1,Тип двигателя,Дизельный,1,1,Вес,5440 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.96 м,1,1,Внутренний радиус поворота,2 м,1,1,Вращение,170°,1,1,Горизонтальный вылет,нет,1,1,Высота техники,1.71 м,1,1,Высота подъема платформы,10 м,1,1,Объем бака гидравлической жидкости,100 л,1,1,Грузоподъемность,700 кг,1,1,Двигатель,Hatz 31.4 hp - 23.1 kW,1,1,Длина,"4,18 м",1,1,Дорожный просвет,35 см,1,1,Колесная база,2.75 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,6 x 1.89 м,1,1,Скорость,"1,6-6,0 км/ч",1,1,Страна,Франция,1,1,Объем топливного бака,65 л,1,1,Шины,10-16.5 с пенным наполнением,1,1,Ширина,"2,25 м",1,1
Haulotte HA 15IP,simple,32,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"14,87 м",1,1,Тип двигателя,Электрический,1,1,Вес,7300 кг,1,1,Аккумуляторы,48 V - 345 Ah (C5),1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,3.95 м,1,1,Внутренний радиус поворота,2 м,1,1,Вращение,90°,1,1,Горизонтальный вылет,8.65 м,1,1,Высота техники,"1,99 м",1,1,Высота подъема платформы,"12,87 м",1,1,Объем бака гидравлической жидкости,30 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,48 V - 345 Ah (C5),1,1,Длина,"6,65 м",1,1,Дорожный просвет,14 см,1,1,Колесная база,2 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.8 х 0.8 м,1,1,Скорость,"1,5 - 5,5 км/ч",1,1,Страна,Франция,1,1,Объем топливного бака,75 л,1,1,Шины,Внедорожные (с пенным наполнением),1,1,Ширина,"1,52 м",1,1
Haulotte HA 18 SPX,simple,33,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"17,3 м",1,1,Тип двигателя,Дизельный,1,1,Вес,7950 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.5 м,1,1,Внутренний радиус поворота,2 м,1,1,Вращение,180°,1,1,Горизонтальный вылет,10.6 м,1,1,Высота техники,2.2 м,1,1,Высота подъема платформы,"15,3 м",1,1,Объем бака гидравлической жидкости,100 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,Deutz Diesel 31.2 kW / 42.4hp,1,1,Длина,"7,5 м",1,1,Дорожный просвет,38 см,1,1,Колесная база,2 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.8 х 0.8 м,1,1,Скорость,"1,5 - 5,5 км/ч",1,1,Страна,Франция,1,1,Объем топливного бака,75 л,1,1,Шины,Внедорожные (с пенным наполнением),1,1,Ширина,"2,3 м",1,1
Haulotte HA16 RTJ,simple,36,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,16 м,1,1,Тип двигателя,Дизельный,1,1,Вес,6095 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.5 м,1,1,Внутренний радиус поворота,,1,1,Вращение,165°,1,1,Горизонтальный вылет,8.3 м,1,1,Высота техники,2.3 м,1,1,Высота подъема платформы,14 м,1,1,Объем бака гидравлической жидкости,76 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"Kubota, 26.5kW (36hp), Stage 3A",1,1,Длина,"5,05 м",1,1,Дорожный просвет,38 см,1,1,Колесная база,2.1 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,1.83 × 0.80 м,1,1,Скорость,5.2 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,62 л,1,1,Шины,14×17.5 (с пенным наполнением),1,1,Ширина,"2,3 м",1,1
Haulotte HA16 RTJ PRO,simple,37,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,16 м,1,1,Тип двигателя,Дизельный,1,1,Вес,6540 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,3.75 м,1,1,Внутренний радиус поворота,,1,1,Вращение,165°,1,1,Горизонтальный вылет,8.3 м,1,1,Высота техники,2.3 м,1,1,Высота подъема платформы,14 м,1,1,Объем бака гидравлической жидкости,62 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"Kubota, 26.5kW (36hp), Stage 3A",1,1,Длина,"6,75 м",1,1,Дорожный просвет,34 см,1,1,Колесная база,2.1 м,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,0.8 - 5.2 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,62 л,1,1,Шины,14×17.5 (foam-filled),1,1,Ширина,"2,3 м",1,1
Haulotte HT23 RTJ O,simple,39,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,1,1,Рабочая высота,"22,5 м",1,1,Тип двигателя,Дизельный,1,1,Вес,13320 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,6.3 м,1,1,Внутренний радиус поворота,,1,1,Вращение,180°,1,1,Горизонтальный вылет,18.3 м,1,1,Высота техники,2.7 м,1,1,Высота подъема платформы,"20,5 м",1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,230 кг,1,1,Двигатель,Kubota 36.5 / 49.6,1,1,Длина,"7,8 м",1,1,Дорожный просвет,34 см,1,1,Колесная база,2.5 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость,0.5 - 6.5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,166 л,1,1,Шины,Пенонаполненные 3385/65-22.5 ,1,1,Ширина,"2,47 м",1,1
Haulotte HA26 RTJ О,simple,38,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"26,4 м",1,1,Тип двигателя,Дизельный,1,1,Вес,15500 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,6.55 м,1,1,Внутренний радиус поворота,,1,1,Вращение,180 люлька/ 360 непрерывно,1,1,Горизонтальный вылет,17.5 м,1,1,Высота техники,2.97 м,1,1,Высота подъема платформы,"24,4 м",1,1,Объем бака гидравлической жидкости,140 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,"Kubota 49,6 hp - 36.5kW",1,1,Длина,"11,8 м",1,1,Дорожный просвет,48 см,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость,5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,80 л,1,1,Шины,385/65-22.5 (solid rough terrain),1,1,Ширина,"2,48 м",1,1
Haulotte НА 26 RTJ PRO,simple,21,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"26,4 м",1,1,Тип двигателя,Дизельный,1,1,Вес,15500 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.35 м,1,1,Внутренний радиус поворота,,1,1,Вращение,180 люлька/ 360 непрерывно,1,1,Горизонтальный вылет,17.5 м,1,1,Высота техники,2.97 м,1,1,Высота подъема платформы,"24,4 м",1,1,Объем бака гидравлической жидкости,140 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,"Kubota 49,6 hp - 36.5kW",1,1,Длина,"11,8 м",1,1,Дорожный просвет,48 см,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость,5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,80 л,1,1,Шины,1025 х 365 мм (solid rough terrain),1,1,Ширина,"2,48 м",1,1
Haulotte Compact 8,simple,27,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"8,2 м",1,1,Тип двигателя,Электрический,1,1,Вес,1655 кг,1,1,Аккумуляторы,24В 225 Амп/ч,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,2.38 м,1,1,Внутренний радиус поворота,0.34 м,1,1,Вращение,,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2 м (со слож ограждениями 1.13 м),1,1,Высота подъема платформы,"6,2 м",1,1,Объем бака гидравлической жидкости,27 л,1,1,Грузоподъемность,350 кг,1,1,Двигатель,24 V - 232 Ah,1,1,Длина,"2,49 м",1,1,Дорожный просвет,13 см,1,1,Колесная база,1.86 м,1,1,Преодолеваемый подъем,23%,1,1,Габариты платформы,2.31 х 0.81 м,1,1,Скорость,1 - 3.3 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,,1,1,Шины,Non marking 15 х 5,1,1,Ширина,"0,81 м",1,1
Haulotte Compact 10,simple,22,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"10,15 м",1,1,Тип двигателя,Электрический,1,1,Вес,2330 кг,1,1,Аккумуляторы,24В 330 Амп/ч,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,1.83 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.35 м (со слож ограждениями 1.65 м),1,1,Высота подъема платформы,"8,15 м",1,1,Объем бака гидравлической жидкости,25 л,1,1,Грузоподъемность,450 кг,1,1,Двигатель,24 V - 340 Ah,1,1,Длина,"2,49 м",1,1,Дорожный просвет,12.5 см,1,1,Колесная база,1.86 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.40 х 1.17 м,1,1,Скорость,0.7-4.2 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,,1,1,Шины,Non marking 15 х 5,1,1,Ширина,"1,2 м",1,1
Haulotte Compact 10N,simple,23,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"9,8 м",1,1,Тип двигателя,Электрический,1,1,Вес,2160 кг,1,1,Аккумуляторы,24В 225 Амп/ч,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,2.05 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.35 м (со слож ограждениями 1.94 м),1,1,Высота подъема платформы,"7,8 м",1,1,Объем бака гидравлической жидкости,10/27 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,24 В - 4x6 В - 209 А.ч.,1,1,Длина,"2,5 м",1,1,Дорожный просвет,12.5 см,1,1,Колесная база,1.86 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.40 х 0.8 м,1,1,Скорость,0.7-4.2 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,,1,1,Шины,Non marking 15 х 5,1,1,Ширина,"0,81 м",1,1
Haulotte Compact 12,simple,24,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"11,98 м",1,1,Тип двигателя,Электрический,1,1,Вес,2470 кг,1,1,Аккумуляторы,24В 340 Амп/ч,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,1.83 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,2.47 м,1,1,Высота подъема платформы,"9,98 м",1,1,Объем бака гидравлической жидкости,14 л,1,1,Грузоподъемность,300 кг,1,1,Двигатель,24 V - 340 Ah (C20),1,1,Длина,"2,49 м",1,1,Дорожный просвет,12.5 см,1,1,Колесная база,1.86 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.40 х 1.17 м (в удлиненном виде 3.32 х 1.17 м),1,1,Скорость,0.7-4.2 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,нет,1,1,Шины,Non marking 15 х 5,1,1,Ширина,"1,2 м",1,1
