Имя,Тип,Артикул,Опубликован,Видимость в каталоге,Наличие,Категории,Название атрибута 4,Значения атрибутов 4,Видимость атрибута 4,Глобальный атрибут 4,Название атрибута 12,Значения атрибутов 12,Видимость атрибута 12,Глобальный атрибут 12,Название атрибута 23,Значения атрибутов 23,Видимость атрибута 23,Глобальный атрибут 23,Название атрибута 3,Значения атрибутов 3,Видимость атрибута 3,Глобальный атрибут 3,Название атрибута 1,Значения атрибутов 1,Видимость атрибута 1,Глобальный атрибут 1,Название атрибута 2,Значения атрибутов 2,Видимость атрибута 2,Глобальный атрибут 2,Название атрибута 5,Значения атрибутов 5,Видимость атрибута 5,Глобальный атрибут 5,Название атрибута 6,Значения атрибутов 6,Видимость атрибута 6,Глобальный атрибут 6,Название атрибута 7,Значения атрибутов 7,Видимость атрибута 7,Глобальный атрибут 7,Название атрибута 9,Значения атрибутов 9,Видимость атрибута 9,Глобальный атрибут 9,Название атрибута 10,Значения атрибутов 10,Видимость атрибута 10,Глобальный атрибут 10,Название атрибута 11,Значения атрибутов 11,Видимость атрибута 11,Глобальный атрибут 11,Название атрибута 13,Значения атрибутов 13,Видимость атрибута 13,Глобальный атрибут 13,Название атрибута 14,Значения атрибутов 14,Видимость атрибута 14,Глобальный атрибут 14,Название атрибута 15,Значения атрибутов 15,Видимость атрибута 15,Глобальный атрибут 15,Название атрибута 16,Значения атрибутов 16,Видимость атрибута 16,Глобальный атрибут 16,Название атрибута 17,Значения атрибутов 17,Видимость атрибута 17,Глобальный атрибут 17,Название атрибута 18,Значения атрибутов 18,Видимость атрибута 18,Глобальный атрибут 18,Название атрибута 19,Значения атрибутов 19,Видимость атрибута 19,Глобальный атрибут 19,Название атрибута 20,Значения атрибутов 20,Видимость атрибута 20,Глобальный атрибут 20,Название атрибута 21,Значения атрибутов 21,Видимость атрибута 21,Глобальный атрибут 21,Название атрибута 22,Значения атрибутов 22,Видимость атрибута 22,Глобальный атрибут 22,Название атрибута 24,Значения атрибутов 24,Видимость атрибута 24,Глобальный атрибут 24,Название атрибута 25,Значения атрибутов 25,Видимость атрибута 25,Глобальный атрибут 25,Название атрибута 26,Значения атрибутов 26,Видимость атрибута 26,Глобальный атрибут 26
Dingli BT26RT,simple,11,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,1,1,Рабочая высота,"26,3 м",1,1,Тип двигателя,Дизельный,1,1,Вес,16090 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,3.22 м,1,1,Внутренний радиус поворота,1.87 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,19.5 м,1,1,Высота техники,2.87 м,1,1,Высота подъема платформы,"24,3 м",1,1,Объем бака гидравлической жидкости,165 л,1,1,Грузоподъемность,450 кг,1,1,Двигатель,"Deutz D2.9 L4/55,4 кВт",1,1,Длина,"10,82 м",1,1,Дорожный просвет,0.41 м,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость, 6 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,135 л,1,1,Шины,385/45-28,1,1,Ширина,"2,5 м",1,1
Dingli BT28RT,simple,12,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,1,1,Рабочая высота,"28,6 м",1,1,Тип двигателя,Дизельный,1,1,Вес,18400 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,3.22 м,1,1,Внутренний радиус поворота,1.87 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,21.9 м,1,1,Высота техники,2.87 м,1,1,Высота подъема платформы,"26,6 м",1,1,Объем бака гидравлической жидкости,165 л,1,1,Грузоподъемность,454 кг,1,1,Двигатель,"Deutz ТD2.9 L4/55,4 кВт",1,1,Длина,"11,66 м",1,1,Дорожный просвет,0.41 м,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость, 6 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,135 л,1,1,Шины,385/45-29,1,1,Ширина,"2,5 м",1,1
Dingli JCPT1418RT,simple,13,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"14,3 м",1,1,Тип двигателя,Дизельный,1,1,Вес,5050 кг,1,1,Аккумуляторы,,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,4.85 м,1,1,Внутренний радиус поворота,2.15 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,1.97 м,1,1,Высота подъема платформы,"12,3 м",1,1,Объем бака гидравлической жидкости,71 л,1,1,Грузоподъемность,363 кг,1,1,Двигатель,"Kubota D1105 18,2 кВт",1,1,Длина,"3,84 м",1,1,Дорожный просвет,0.24 м,1,1,Колесная база,2.29 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,2.88 х 1.52 м,1,1,Скорость, 5 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,47 л,1,1,Шины,26 х 12-16.5,1,1,Ширина,"1,76 м",1,1
Dingli JCPT1612HA,simple,14,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"15,7 м",1,1,Тип двигателя,Электрический,1,1,Вес,3240 кг,1,1,Аккумуляторы,4x12В/240Ач,1,1,Бренд,Dingli,1,1,Внешний радиус поворота,2.65 м,1,1,Внутренний радиус поворота,0 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.09 м,1,1,Высота подъема платформы,"13,7 м",1,1,Объем бака гидравлической жидкости,20 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,24V / 4.5kW,1,1,Длина,"2,84 м",1,1,Дорожный просвет,10 см,1,1,Колесная база,2.24 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.64 х 1.12 м,1,1,Скорость,3.5 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,381 х 127 мм не оставлящие следов,1,1,Ширина,"1,25 м",1,1
Haulotte HA 20 PX,simple,34,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"20,65 м",1,1,Тип двигателя,Дизельный,1,1,Вес,11710 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,3.9 м,1,1,Внутренний радиус поворота,нет,1,1,Вращение,360°,1,1,Горизонтальный вылет,13.5 м,1,1,Высота техники,2.67 м,1,1,Высота подъема платформы,"18,65 м",1,1,Объем бака гидравлической жидкости,150 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"Diesel Deutz 57,1 hp - 42kW",1,1,Длина,"8,93 м",1,1,Дорожный просвет,0.42 м,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,1.8 х 0.8 м,1,1,Скорость,0.5 - 4.5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,150 л,1,1,Шины,385/65-22.5,1,1,Ширина,"2,38 м",1,1
Haulotte HA 20 RTJ,simple,35,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"20,6 м",1,1,Тип двигателя,Дизельный,1,1,Вес,9300 кг,1,1,Аккумуляторы,,1,1,Бренд,Haulotte,1,1,Внешний радиус поворота,4.5 м,1,1,Внутренний радиус поворота,нет,1,1,Вращение,355°,1,1,Горизонтальный вылет,12.2 м,1,1,Высота техники,2.51 м,1,1,Высота подъема платформы,"18,6 м",1,1,Объем бака гидравлической жидкости,150 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"Kubota 49,6 hp - 36.5kW",1,1,Длина,"8,8 м",1,1,Дорожный просвет,0.38 м,1,1,Колесная база,2.45 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.8 м ,1,1,Скорость,0.5 - 5.5 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,150 л,1,1,Шины,910 х 355 мм,1,1,Ширина,"2,42 м",1,1
JLG 4394RT,simple,41,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"13,11м",1,1,Тип двигателя,Дизельный,1,1,Вес,7100 кг,1,1,Аккумуляторы,,1,1,Бренд,JLG,1,1,Внешний радиус поворота,5.93 м,1,1,Внутренний радиус поворота,2.71 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.89 м,1,1,Высота подъема платформы,"11,11м",1,1,Объем бака гидравлической жидкости,121.42 л,1,1,Грузоподъемность,680 кг,1,1,Двигатель,"Kubota 24,8 л.с.",1,1,Длина,"3,86 м",1,1,Дорожный просвет,0.3 м,1,1,Колесная база,2.95 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.18 х 3.81 м,1,1,Скорость,6.4 км/ч,1,1,Страна,США,1,1,Объем топливного бака,113.56 л,1,1,Шины,"внедорожные, пенонаполненные",1,1,Ширина,"2,39 м",1,1
JLG 800S,simple,43,1,visible,1,"Misc, Телескопические, Дизельные, Самоходные",Вид подъемника,Телескопический,1,1,Рабочая высота,"26,38 м",1,1,Тип двигателя,Дизельный,1,1,Вес,15800 кг,1,1,Аккумуляторы,,1,1,Бренд,JLG,1,1,Внешний радиус поворота,6.02 м,1,1,Внутренний радиус поворота,3.8 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,21.64 м,1,1,Высота техники,2.95 м,1,1,Высота подъема платформы,"24,38 м",1,1,Объем бака гидравлической жидкости,181.7 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,Deutz D2011 L04 w/EGR 46 kW 61.6 hp,1,1,Длина,"11,35 м",1,1,Дорожный просвет,0.28 м,1,1,Колесная база,3.05 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,0.91 х 2.44 м,1,1,Скорость,5.6 км/ч,1,1,Страна,США,1,1,Объем топливного бака,117.35 л,1,1,Шины,пенонаполненные 15-625,1,1,Ширина,"2,49 м",1,1
Manitou 120 AETJ-C,simple,53,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"11,95 м",1,1,Тип двигателя,Электрический,1,1,Вес,6600 кг,1,1,Аккумуляторы,,1,1,Бренд,Manitou,1,1,Внешний радиус поворота,3.34 м,1,1,Внутренний радиус поворота,1.55 м,1,1,Вращение,355°,1,1,Горизонтальный вылет,7/7.1 м,1,1,Высота техники,2.16 м,1,1,Высота подъема платформы,"9,95 м",1,1,Объем бака гидравлической жидкости,18 л,1,1,Грузоподъемность,200 кг,1,1,Двигатель,48 V/240 Ah,1,1,Длина,"3,74 м",1,1,Дорожный просвет,10 см,1,1,Колесная база,1.65 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,1.20 х 0.92 м,1,1,Скорость,0.6-6.0 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,нет,1,1,Шины,"цельнолитые, не оставлящие следов",1,1,Ширина,"1,2 м",1,1
MANITOU 180 ATJ,simple,54,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"18,18 м",1,1,Тип двигателя,Дизельный,1,1,Вес,7430 кг,1,1,Аккумуляторы,,1,1,Бренд,Manitou,1,1,Внешний радиус поворота,3.75 м,1,1,Внутренний радиус поворота,1.38 м,1,1,Вращение,350°,1,1,Горизонтальный вылет,10.51/10.6 м,1,1,Высота техники,2.56 м,1,1,Высота подъема платформы,"16,18 м",1,1,Объем бака гидравлической жидкости,54 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,Дизельный PERKINS 404 C 22,1,1,Длина,"5,56 м",1,1,Дорожный просвет,40 см,1,1,Колесная база,2.2 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.8 х 0.8 м,1,1,Скорость,1.0-5.0 км/ч,1,1,Страна,Франция,1,1,Объем топливного бака,52 л,1,1,Шины,пенонаполненные ,1,1,Ширина,"2,32 м",1,1
Sunward SWA16J,simple,55,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,16 м,1,1,Тип двигателя,Дизельный,1,1,Вес,7500 кг,1,1,Аккумуляторы,,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,4.98 м,1,1,Внутренний радиус поворота,2.09 м,1,1,Вращение,"360° непрерывно, люлька 160°",1,1,Горизонтальный вылет,8.02 м,1,1,Высота техники,2.17 м,1,1,Высота подъема платформы,14 м,1,1,Объем бака гидравлической жидкости,82 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,Kubota v2403,1,1,Длина,"6,93 м",1,1,Дорожный просвет,35 см,1,1,Колесная база,2.25 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.76 м,1,1,Скорость,0.8-6.8 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,73 л,1,1,Шины,"33х12-20, пенонаполненные, вездеходные",1,1,Ширина,"2,3 м",1,1
Sunward SWA22JE,simple,56,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"21,6 м",1,1,Тип двигателя,Электрический,1,1,Вес,9800 кг,1,1,Аккумуляторы,48В/390Ач,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,5.6 м,1,1,Внутренний радиус поворота,2.5 м,1,1,Вращение,"360° непрерывно, люлька 160°",1,1,Горизонтальный вылет,12.1 м,1,1,Высота техники,2.58 м ,1,1,Высота подъема платформы,"19,6 м",1,1,Объем бака гидравлической жидкости,84 л,1,1,Грузоподъемность,250 кг,1,1,Двигатель,"48 В АC, 390 А*ч ",1,1,Длина,"8,92 м",1,1,Дорожный просвет,35 см,1,1,Колесная база,2.49 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.40 х 0.91 м,1,1,Скорость,1.1-6.1 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,355/55 D625 ,1,1,Ширина,"2,49 м",1,1
Sunward SWSL 1614 hd,simple,57,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"15,8 м",1,1,Тип двигателя,Электрический,1,1,Вес,3500 кг,1,1,Аккумуляторы,4×12В/300 А.ч.,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,2.5 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,,1,1,Высота подъема платформы,"13,8 м",1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,260 кг,1,1,Двигатель,,1,1,Длина,"2,84 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,,1,1,Шины,,1,1,Ширина,"1,41 м",1,1
Sunward SWSL0807HD,simple,58,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,8 м,1,1,Тип двигателя,Электрический,1,1,Вес,1530 кг,1,1,Аккумуляторы,4X6V/210Ah,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,1.67 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,,1,1,Высота подъема платформы,6 м,1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,230 кг,1,1,Двигатель,,1,1,Длина,"1,86 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,,1,1,Шины,,1,1,Ширина,"0,76 м",1,1
Sunward SWSL1008,simple,59,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,10 м,1,1,Тип двигателя,Электрический,1,1,Вес,2080 кг,1,1,Аккумуляторы,4X6V/225Ah,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,2.1 м,1,1,Внутренний радиус поворота,0 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,,1,1,Высота подъема платформы,8 м,1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,230 кг,1,1,Двигатель,,1,1,Длина,"2,46 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,,1,1,Шины,,1,1,Ширина,"0,83 м",1,1
Sunward SWSL1212HD,simple,60,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,12 м,1,1,Тип двигателя,Электрический,1,1,Вес,2940 кг,1,1,Аккумуляторы,4X6V/240Ah,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,2.2 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,,1,1,Высота подъема платформы,10 м,1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,320 кг,1,1,Двигатель,,1,1,Длина,"2,47 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,,1,1,Шины,,1,1,Ширина,"1,17 м",1,1
Sunward SWSL1412HD,simple,61,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,14 м,1,1,Тип двигателя,Электрический,1,1,Вес,2980 кг,1,1,Аккумуляторы,4X12V/300Ah,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,2.2 м,1,1,Внутренний радиус поворота,,1,1,Вращение,,1,1,Горизонтальный вылет,,1,1,Высота техники,,1,1,Высота подъема платформы,12 м,1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,320 кг,1,1,Двигатель,,1,1,Длина,"2,47 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,,1,1,Шины,,1,1,Ширина,"1,17 м",1,1
Sunward SWSL1823RT,simple,62,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,18 м,1,1,Тип двигателя,Дизельный,1,1,Вес,8200 кг,1,1,Аккумуляторы,,1,1,Бренд,Sunward,1,1,Внешний радиус поворота,5.8 м,1,1,Внутренний радиус поворота,2.75 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,,1,1,Высота техники,,1,1,Высота подъема платформы,16 м,1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,680 кг,1,1,Двигатель,,1,1,Длина,"4,9 м",1,1,Дорожный просвет,,1,1,Колесная база,,1,1,Преодолеваемый подъем,,1,1,Габариты платформы,,1,1,Скорость,,1,1,Страна,Китай,1,1,Объем топливного бака,105 л,1,1,Шины,,1,1,Ширина,"2,3 м",1,1
Upright AB38,simple,63,1,visible,1,"Misc, Ножничные, Электрические, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"13,5 м",1,1,Тип двигателя,Электрический,1,1,Вес,8200 кг,1,1,Аккумуляторы,,1,1,Бренд,Upright,1,1,Внешний радиус поворота,2.4 м,1,1,Внутренний радиус поворота,0.4 м,1,1,Вращение,362°,1,1,Горизонтальный вылет,6.1 м,1,1,Высота техники,2 м,1,1,Высота подъема платформы,"11,5 м",1,1,Объем бака гидравлической жидкости,25 л,1,1,Грузоподъемность,215 кг,1,1,Двигатель,"8 х 6 В, 220 A*ч DC",1,1,Длина,4 м,1,1,Дорожный просвет,15 см,1,1,Колесная база,1.99 м,1,1,Преодолеваемый подъем,36%,1,1,Габариты платформы,0.60 х 1.20 м,1,1,Скорость,0.7-4.0 км/ч,1,1,Страна,Великобритания,1,1,Объем топливного бака,нет,1,1,Шины,не оставлящие следов,1,1,Ширина,"1,5 м",1,1
Zoomlion ZA14J,simple,64,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"15,8 м",1,1,Тип двигателя,Дизельный,1,1,Вес,3800 кг,1,1,Аккумуляторы,"8 x 6 В, 220 А.ч.",1,1,Бренд,Zoomlion,1,1,Внешний радиус поворота,4.26 м,1,1,Внутренний радиус поворота,1.92 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,7.58 м,1,1,Высота техники,2.39 м,1,1,Высота подъема платформы,"13,8 м",1,1,Объем бака гидравлической жидкости,75 л,1,1,Грузоподъемность,300 кг,1,1,Двигатель,"Kubota v2403, 36.5 кВт",1,1,Длина,"6,57 м",1,1,Дорожный просвет,40 см,1,1,Колесная база,2.06 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,1.83 х 0.76 м,1,1,Скорость,6.1 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,65 л,1,1,Шины,"315/55 D20, пенонаполненные",1,1,Ширина,"2,3 м",1,1
Zoomlion ZA14JE,simple,65,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,16 м,1,1,Тип двигателя,Электрический,1,1,Вес,7100 кг,1,1,Аккумуляторы,,1,1,Бренд,Zoomlion,1,1,Внешний радиус поворота,3.15 м,1,1,Внутренний радиус поворота,0.79 м,1,1,Вращение,360°,1,1,Горизонтальный вылет,7.5 м,1,1,Высота техники,2 м ,1,1,Высота подъема платформы,14 м,1,1,Объем бака гидравлической жидкости,30 л,1,1,Грузоподъемность,230 кг,1,1,Двигатель,"48 В DC, АКБ 320 А*ч ",1,1,Длина,"6,6 м",1,1,Дорожный просвет,20 см,1,1,Колесная база,2.05 м,1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,1.52 х 0.76 м,1,1,Скорость,6.1 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,"240/55-17.5 пенонаполненные, 250/15 цельнолитые",1,1,Ширина,"1,75 м",1,1
Zoomlion ZS1414HD,simple,66,1,visible,1,"Misc, Коленчатые, Электрические, Самоходные",Вид подъемника,Коленчатый,1,1,Рабочая высота,"15,7 м",1,1,Тип двигателя,Электрический,1,1,Вес,6800 кг,1,1,Аккумуляторы,24×2V/320Ah,1,1,Бренд,Zoomlion,1,1,Внешний радиус поворота,2.6 м,1,1,Внутренний радиус поворота,0.1 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2 м,1,1,Высота подъема платформы,"13,7 м",1,1,Объем бака гидравлической жидкости,,1,1,Грузоподъемность,260 кг,1,1,Двигатель,"24 В, подъемный/приводной мотор 4.5 кВт; АКБ 4х6 В/190 А*ч",1,1,Длина,"2,87 м",1,1,Дорожный просвет,11 см,1,1,Колесная база,2.22 м,1,1,Преодолеваемый подъем,25%,1,1,Габариты платформы,2.67 х 1.12 м,1,1,Скорость,3.5 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,нет,1,1,Шины,381 х 127 мм не оставлящие следов,1,1,Ширина,"1,4 м",1,1
Zoomlion ZS1623RT,simple,67,1,visible,1,"Misc, Коленчатые, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,18 м,1,1,Тип двигателя,Дизельный,1,1,Вес,3280 кг,1,1,Аккумуляторы,,1,1,Бренд,Zoomlion,1,1,Внешний радиус поворота,5.8 м,1,1,Внутренний радиус поворота,2.75 м,1,1,Вращение,нет,1,1,Горизонтальный вылет,нет,1,1,Высота техники,2.47 м,1,1,Высота подъема платформы,16 м,1,1,Объем бака гидравлической жидкости,100 л,1,1,Грузоподъемность,680 кг,1,1,Двигатель,Kubota v2403-M-DI 36 кВт / 2600 об./мин.,1,1,Длина,"4,88 м",1,1,Дорожный просвет,27.5 см,1,1,Колесная база,2.9 м,1,1,Преодолеваемый подъем,40%,1,1,Габариты платформы,3.98 х 1.83 м,1,1,Скорость,0.5-6.5 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,105 л,1,1,Шины,33х12-20/8 цельнолитые/пенонаполненные,1,1,Ширина,"2,33 м",1,1
Zoomlion ZT26J,simple,68,1,visible,1,"Misc, Ножничные, Дизельные, Самоходные",Вид подъемника,Ножничный,1,1,Рабочая высота,"28,2 м",1,1,Тип двигателя,Дизельный,1,1,Вес,8650 кг,1,1,Аккумуляторы,,1,1,Бренд,Zoomlion,1,1,Внешний радиус поворота,6.1 м,1,1,Внутренний радиус поворота,3.5 м,1,1,Вращение,"360°, непрерывно",1,1,Горизонтальный вылет,22.1 м,1,1,Высота техники,2.82 м,1,1,Высота подъема платформы,"26,2 м",1,1,Объем бака гидравлической жидкости,150 л,1,1,Грузоподъемность,454 кг,1,1,Двигатель,Kubota v2607/ Kubota v3307,1,1,Длина,"12,5 м",1,1,Дорожный просвет,40 см,1,1,Колесная база,2.8 м,1,1,Преодолеваемый подъем,45%,1,1,Габариты платформы,2.44 х 0.91 м,1,1,Скорость,5.5 км/ч,1,1,Страна,Китай,1,1,Объем топливного бака,150 л,1,1,Шины,385/65-24,1,1,Ширина,"2,49 м",1,1
Genie Z-33/22 такого не существует / правильно так  Genie Z-34/22 DC,simple,69,1,visible,1,"Misc, Телескопические, Электрические, Самоходные",Вид подъемника,Телескопический,1,1,Рабочая высота,"12,52 м",1,1,Тип двигателя,Электрический,1,1,Вес,18900 кг,1,1,Аккумуляторы,,1,1,Бренд,Genie,1,1,Внешний радиус поворота,4 м,1,1,Внутренний радиус поворота,1.75 м,1,1,Вращение,355°,1,1,Горизонтальный вылет,6.78 м,1,1,Высота техники,2 м,1,1,Высота подъема платформы,"10,52 м",1,1,Объем бака гидравлической жидкости,15.1 м,1,1,Грузоподъемность,227 кг,1,1,Двигатель,"48 В DC (8х6 В, 315А*ч)",1,1,Длина,"4,08 м",1,1,Дорожный просвет,15 см,1,1,Колесная база,1.88 м,1,1,Преодолеваемый подъем,30%,1,1,Габариты платформы,0.76 х 1.42 м,1,1,Скорость,1.1-6.4 км/ч,1,1,Страна,США,1,1,Объем топливного бака,нет,1,1,Шины,"сплошные, не оставлящие следов. 9х14.5",1,1,Ширина,"1,73 м",1,1